stage2,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
4,@ner,1,1,0,1,2,0,2,3,0,0,0,0
16,divineservice,1,1,0,1,2,0,2,3,0,0,0,0
86,eternalfantasy,1,1,0,2,2,0,2,3,0,0,0,0
24,freedom,1,1,0,2,2,0,2,3,0,0,0,0
29,iwantyou,1,1,0,2,2,0,2,3,0,0,0,0
87,loveis,1,1,0,1,2,0,1,3,0,0,0,0
90,novarmx,2,1,0,2,2,0,0,0,0,0,0,0
42,playthefuture,1,1,0,1,2,0,1,3,0,0,0,0
77,sayitfrom,2,1,0,2,2,0,0,0,0,0,0,0
48,supersonic,1,1,0,1,2,0,2,3,0,0,0,0
51,thelastdance,2,1,0,2,2,0,2,3,0,0,0,0
79,trip,2,1,0,2,2,0,0,0,0,0,0,0
55,yourown,1,1,0,1,2,0,2,3,0,0,0,0
5,ai,2,1,0,2,2,0,2,3,0,0,0,0
9,cherokee,2,1,0,2,2,0,2,3,0,0,0,0
12,color,2,1,0,2,2,0,2,3,0,0,0,0
101,desperado,2,1,0,0,0,0,0,0,0,0,0,0
23,flea,2,1,0,2,2,0,2,3,0,0,0,0
41,pdm,1,1,0,2,2,0,2,3,0,0,0,0
98,secretworld,2,1,0,2,2,0,0,0,0,0,0,0
84,theguilty,2,1,0,2,2,0,2,3,0,0,0,0
54,y,2,1,0,2,2,0,2,3,0,0,0,0
11,coastaltempo,1,1,0,1,2,0,2,3,0,0,0,0
13,coloursof,2,1,0,2,2,0,2,3,0,0,0,0
25,fury,2,1,0,2,2,0,2,3,0,0,0,0
67,lacamp,1,1,0,2,2,0,0,0,0,0,0,0
81,monoxide,2,1,0,2,2,0,2,3,0,0,0,0
